n,entrada,tiempoPromSeg,pasosPromedio,salida,aceptada
0,,1.344900617065529e-05,1.0,,True
1,1,1.576899861296018e-05,2.0,1,True
2,11,1.4439671455572048e-05,3.0,1,True
3,111,2.2471998818218708e-05,6.0,11,True
4,1111,2.3995002266019583e-05,8.0,111,True
5,11111,2.6470671097437542e-05,11.0,11111,True
6,111111,4.276199615560472e-05,15.0,11111111,True
7,1111111,5.726532738966247e-05,21.0,1111111111111,True
8,11111111,9.041433804668486e-05,30.0,111111111111111111111,True
9,111111111,0.0002110553226278474,44.0,1111111111111111111111111111111111,True
10,1111111111,0.00034495100650625926,66.0,1111111111111111111111111111111111111111111111111111111,True
11,11111111111,0.0007964673277456313,101.0,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True
12,111111111111,0.0023137923368873694,157.0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True
