n,entrada,tiempoPromSeg,pasosPromedio,salida,aceptada
0,,1.984700793400407e-05,1.0,,True
1,1,1.7759011825546622e-05,2.0,1,True
2,11,2.3040338419377804e-05,3.0,1,True
3,111,3.507299697957933e-05,6.0,11,True
4,1111,3.9280663865307965e-05,8.0,111,True
5,11111,4.868800169788301e-05,11.0,11111,True
6,111111,7.566599136528869e-05,15.0,11111111,True
7,1111111,8.871166695219775e-05,21.0,1111111111111,True
8,11111111,0.0001306776733448108,30.0,111111111111111111111,True
9,111111111,0.00026173033014250297,44.0,1111111111111111111111111111111111,True
10,1111111111,0.0004539293295238167,66.0,1111111111111111111111111111111111111111111111111111111,True
11,11111111111,0.0009768986686443288,101.0,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True
12,111111111111,0.002744099338694165,157.0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True
